"","id","date","lon","lat","x","y","x.se","y.se","u","v","u.se","v.se","s","s.se","logit_g","logit_g.se","g"
"1","244381",2023-08-02 22:00:00,-28.1565000000001,38.4679000000001,-3134.36724252082,4619.15272300356,9.99999999998523e-06,9.9999999999846e-06,2.8210993593257e-11,4.60825506886596e-11,9.99999999982238e-06,9.99999999976285e-06,0,NA,0.158008662922277,0.36279451155354,0.539420183723082
"2","244381",2023-08-03 04:00:00,-28.0637671642605,38.4785554892551,-3124.04427046648,4620.66158176629,2.15828777224945,2.33096101203562,3.4780298477482,-0.154834812602536,1.13988835537958,0.903796155597512,1.73885404261062,NA,0.158008662922277,0.358805616968229,0.539420183723082
"3","244381",2023-08-03 10:00:00,-27.8585583623143,38.3893816417637,-3101.20053112752,4608.04114050906,0.488210092320954,0.404319541064032,2.30394364876652,-3.05736761712877,0.451615226652448,0.377896604053254,4.34972623161293,NA,0.158008662922277,0.354771875890031,0.539420183723082
"4","244381",2023-08-03 16:00:00,-27.7703206874676,38.3426594342948,-3091.3779580948,4601.4349858488,4.75115772771589,1.67684369071093,1.34553323624274,-0.344029023742277,1.47257730605753,0.978044174915621,1.97269684339142,NA,0.15651698260743,0.351053036212593,0.539049559917502
"5","244381",2023-08-03 22:00:00,-27.7508036931204,38.3638866576873,-3089.20533622226,4604.43581623115,1.41981884301154,1.58922225425674,0.362103625220431,0.500138391550461,0.728594542606433,0.338443237075372,0.617536422805945,NA,0.155644324182236,0.347876271069369,0.5388327186247
"6","244381",2023-08-04 04:00:00,-27.7609922435832,38.4285030244728,-3090.3395204717,4613.57590879727,6.93262827338734,5.3222533751553,-0.257116550426686,1.69648127466519,1.35002634001416,1.03142779196153,1.5350224185896,NA,0.155783860241557,0.344605634380294,0.538867392034002
"7","244381",2023-08-04 10:00:00,-27.7632839588371,38.4940677140483,-3090.59463304681,4622.85857522036,2.47280855486108,1.6372112192628,-0.0425187595040303,1.54711098068449,0.951150798432676,0.754562243098278,1.5476699372053,NA,0.155610156056807,0.341362296845494,0.538824228106929
"8","244381",2023-08-04 16:00:00,-27.7560062056886,38.4573728480496,-3089.7844772722,4617.66225802551,3.33055281632163,2.68975194639376,0.315447334306772,-2.53464920914511,1.11615684935063,0.876422034817398,0.876430682147929,NA,0.154799357853312,0.338312596381643,0.538622744357569
"9","244381",2023-08-04 22:00:00,-27.8013381084968,38.4107931648262,-3094.8308016095,4611.0700001627,2.93106734273201,0.975802091931646,-2.47792735598969,1.15161849842142,1.47541455866131,0.70719602376205,1.38403695640878,NA,0.155514836218947,0.335017412143303,0.538800541737389
"10","244381",2023-08-05 04:00:00,-27.8871521157235,38.4246701895836,-3104.3835731969,4613.03351803579,10.4110108292075,6.73438567159773,-1.59212861000358,0.327253013499352,1.58818892041589,1.10817864900405,1.6255583387973,NA,0.155958121571783,0.331758969666721,0.538910693821073
"11","244381",2023-08-05 10:00:00,-27.958702634865,38.4344629194726,-3112.34854055372,4614.41936098781,9.19300113092191,4.13805826535745,-1.32749457157469,0.230973859987214,1.24033023417179,0.875262021946855,1.34712536175923,NA,0.156635762850304,0.328473953153971,0.539079073717084
"12","244381",2023-08-05 16:00:00,-28.0480363314214,38.4676994972421,-3122.29312216506,4619.12433318729,6.55329797798732,3.02970351179561,-1.86783130776352,1.12064575212499,1.54812600232432,1.01331426058494,1.8333465616744,NA,0.157028849618304,0.325266239093693,0.539176743595581
"13","244381",2023-08-05 22:00:00,-28.1613149134279,38.5444669299979,-3134.90323623181,4629.99990084167,5.44699785254794,3.31517765553524,-1.91489804338017,1.79720885701562,1.75445416779924,1.24823176511746,2.77544736852954,NA,0.156874769621483,0.322158799649042,0.539138459849993
"14","244381",2023-08-06 04:00:00,-28.2156703314957,38.5977751083262,-3140.95405369298,4637.55890563613,7.23973256200729,5.72725669057911,-1.00846959611125,1.2598341110949,1.1139783441435,0.880308669222595,1.61373335261341,NA,0.155354569552751,0.319381732748619,0.538760716101859
"15","244381",2023-08-06 10:00:00,-28.2487965617919,38.6238304249687,-3144.64164878146,4641.25556224144,5.01144877106559,3.84559494859592,-0.574795909775505,0.435149878367706,1.49297035874913,1.09468373961118,0.870256827423425,NA,0.153633863535089,0.316892372946848,0.538333096359383
"16","244381",2023-08-06 16:00:00,-28.2841758311035,38.6149502456295,-3148.58005102586,4639.99551479075,6.85770277116817,3.35440401080027,-0.797237581908074,-0.340968904196549,1.5269525575713,1.20871127230123,0.689444302061893,NA,0.151932073592294,0.31446679477289,0.537910122037946
"17","244381",2023-08-06 22:00:00,-28.2935198556564,38.5238481760483,-3149.62022308104,4627.07771355436,4.65642197625971,2.51089504317682,-0.173361919457459,-2.15296703945823,1.01413631961669,0.528196824905767,2.15980811014027,NA,0.150349342129692,0.312003354604783,0.537516690313729
